churn,chat_log
no,"Klient: SMS.
Agent Telcom: Jakie jest minimum nowego tekstu?
Klient: 23 USD miesięcznie
Agent Telcom: 23 USD miesięcznie?To jest drogie.
Klient: Tak, to jest.
Agent Telcom: Ach, rozumiem.A co z danymi?
Klient: W mojej okolicy kosztuje 20 USD miesięcznie.
Agent Telcom: 20 USD miesięcznie?To o wiele tańsze.
Klient: Tak, to jest.
Agent Telcom: Czy masz nowy numer telefonu?
Klient: Tak, właściwie mój stary numer Telcom został właśnie odwołany.
Telcom"
no,"Klient: Tylko głos.
Agent Telcom: A ile to byłoby?
Klient: Uh, będę płacić 120 USD miesięcznie za następne 12 miesięcy.
Agent Telcom: Dobra, dziękuję Belinda.I dzięki temu jesteś skończony.Do widzenia!
Zrobiłem zdjęcie paragonu i umieścimy to wszystko na tym blogu, aby pokazać, że nie jesteśmy tylko listą numerów telefonów.List mówi, że jesteś skończony.Po otrzymaniu tego listu skończysz i nie ma to nic wspólnego z Telcom.To nie jest kwestia"
no,
no,"Klient: Nie mogę zaktualizować pakietu głosowego Jestem z Verizon.
Agent Telcom: OK, czy możesz mi wyjaśnić, dlaczego nie byłeś w stanie ulepszyć swojego pakietu głosowego?
Klient: Cóż, kiedy przeszedłem na Telcom, miałem już pakiet głosowy ze starym operatorem i chciałem go zatrzymać.Nie chcieli, żebym się cofnął.
Agent Telcom: OK, możesz mi powiedzieć, dlaczego chcesz wrócić do Verizon?
Klient: Cóż, utknąłem na słowie, że nie chcą, żebym się odwrócił.
Agent Telcom: ok, cóż, czy mógłbyś"
no,"Klient: Chcę ulepszyć umowę do Singtel.Jestem na standardowym planie i myślę, że korzystne byłoby uaktualnienie do nowej usługi głosowej.
Agent Telcom: Dziękujemy za poświęcenie czasu na ten wywiad Michael.Czy chcesz, żebym wysłał swoją istniejącą umowę, czy potrzebujesz nowego?
Klient: Chciałbym wysłać starą umowę tylko w bieżącym miesiącu, jeśli to możliwe.
Agent Telcom: W porządku, możemy uzyskać kopię i wysłać Ci e -mailem kopię.Przejdę cię, jak przetworzyć cały proces przełączania.
Klient: Będę"
no,
no,"Klient: Chciałbym zaktualizować pakiet głosowy i danych.
Agent Telcom: Więc do którego z nich chciałbyś zaktualizować?
Klient: głos.
Agent Telcom: OK.Który chcesz?
Klient: Picasso.
Agent Telcom: OK.Który chcesz?
Klient: Picasso.
Agent Telcom: OK.Który chcesz?
Klient: Picasso.
Agent Telcom: OK.Który chcesz?
Klient: Picasso.
Agent Telcom: OK.Który chcesz?
Klient: Picasso."
no,
no,"Klient: Chciałbym zaktualizować usługę głosową do Verizon Galaxy Note 3.
Agent Telcom: Świetnie!Do jakiej karty kredytowej chciałbyś wysłać 100,00 $?
Klient: Nie mam karty kredytowej, aby wysłać 100,00 $.Czy możesz zaakceptować gotówkę lub czek?
Agent Telcom: Mogę zaakceptować gotówkę.Mam konto bankowe w SunTrust Bank, które mogę zaakceptować czeki i gotówkę.Mogę również wysłać pieniądze na czeku kasjera za pośrednictwem konta bankowego, które mamy na imieniu Pamela A. Ponce.
Klient: OK.Dzięki wielkie!
Klient"
no,
