churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,"Klient: Chciałbym w tej chwili ulepszyć głos i tekst, ale z nich byłbym zadowolony.Dziękuję Ci.
Agent Telcom: Świetnie.I czy chciałbyś mieć test, aby zobaczyć, że twoje aktualizacje będą dostępne?
Klient: Jasne.
Agent Telcom: Świetnie.Kiedy możesz wejść?
Klient: późno w nocy lub wczesnym rankiem.
Agent Telcom: Jak najszybciej.Czy możesz zamknąć przeglądarkę internetową i poczekać na mój numer potwierdzenia, zanim wejdziesz do sklepu.
Klient: OK.
Agent Telcom: Dalej, mam",NE,120,area_code_415,no,yes,40,222.2,80,37.77,223.1,84,18.96,164.0,65,7.38,12.1,3,3.27,1
no,"Klient: Chcę ulepszyć umowę do głosu.Naprawdę nie widzę żadnej wartości w mojej obecnej umowie, w której jestem na 3 -miesięcznych kontraktach.
Agent Telcom: Więc gdybyś chciał uaktualnić głos, co byś zapłacił?
Klient: 29,62 USD miesięcznie.
Agent Telcom: Dobra, mogę to umieścić na formularzach, ale powiedz mi, jaki jest twój obecny kontrakt, a ja mogę podać wycenę aktualizacji.To nie jest bardzo długa umowa, prawda?
Klient: Tak, to jest.
Agent Telcom: co zapłacisz za nową umowę",VT,122,area_code_415,no,no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0
no,"Klient: głos.
Agent Telcom: świetna okazja!Tak więc w przypadku aktualizacji będziemy przełączać się z międzynarodowych połączeń na tekst międzynarodowy.Ile chciałbyś zapłacić za tę aktualizację?
Klient: 65 USD za rok.Czy to byłoby wystarczające?
Agent Telcom: Tak.I ile czasu zajęłoby ukończenie aktualizacji?
Klient: Do pierwszego dnia pierwszego miesiąca aktualizacji, tak jakby zabierze Cię od 16 czerwca do 30 czerwca.
Agent Telcom: Świetna okazja, nie mogę się doczekać ponownej współpracy.Jak mogę ci pomóc w przyszłym tygodniu?",VT,48,area_code_415,no,no,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4
no,"Klient: głos.
Agent Telcom: To dla Ciebie łatwe Maria.Ile chciałbyś zostać rozliczony za nowy plan?
Klient: dwieście dolarów.
Agent Telcom: Cieszę się, że Maria.Teraz, gdy masz nasz numer ponownego rozpatrzenia, chciałbym zadzwonić.
Departament obsługi klienta Telcom: Witam, to jest Telcom Consumer Care i mam poważny problem z Twoim połączeniem.Twój telefon został umieszczony z twojego numeru telefonu komórkowego do ...
Klient: Telcom.
Departament obsługi klienta Telcom: ... Numer ponownego rozpatrzenia Telcom.Aby anulować istniejące",MA,126,area_code_408,no,yes,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0
no,,NM,232,area_code_408,no,no,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1
no,"Klient: Chciałbym uaktualnić do LTE i uzyskać dostęp do wszystkich połączeń, które wykonałem na moim bieżącym koncie Telcom.
Agent Telcom: Cieszę się, że Sharon.Ile chcesz zaoszczędzić na bieżącej usłudze Telcom?
Klient: W tej chwili jest to 29,99 USD miesięcznie za opłatę miesięczną w wysokości 34,99 USD.
Agent Telcom: Cieszę się, że Sharon.Jak długo będziesz spłacić swoją bieżącą usługę Telcom przed aktualizacją nowej usługi Telcom?
Klient: Nie ma gwarancji, że będę w stanie zaoszczędzić pieniądze, ponieważ Telcom nie",MO,6,area_code_510,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1
no,"Klient: Patrzyłem w głos i tekst.Chcę również przekazać moją bieżącą roczną umowę do nowego i zastanawiałem się, czy byliby gotowi to rozważyć.
Agent Telcom: A co chciałbyś zrobić, aby zakończyć obecną umowę?
Klient: Dziękuję, to bardzo z twojej strony.W trakcie mojego pobytu w Telcom byłem bardzo zadowolony z otrzymanej usługi, cen i wsparcia, które miałem.Niedawno zacząłem od pierwszej linii, linii danych i chcę przejść do innej linii głosowej.Ja też",AK,61,area_code_415,no,yes,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10.0,3,2.7,2
no,"Klient: Jestem zadowolony z usługi, którą otrzymuję od Telcom, chcę po prostu zaktualizować umowę do…
Agent Telcom: Czy istnieje teraz opcja aktualizacji?
Klient: Nie, dane są w porządku, ale chcę ulepszyć głos, mam telefon stacjonarny w domu i planuję przenieść się na telefon i staram się znaleźć odpowiednią opcję aktualizacji.
Agent Telcom: Nie, przepraszam, że nie mogę ci w tym pomóc.Więc przykro mi to słyszeć.Teraz jesteś w stanie powiedzieć nam, jaki jest twój obecny plan na",MO,85,area_code_415,no,no,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1
no,"Klient: SMS.
Agent Telcom: tekst?
Klient: Tak.
Agent Telcom: Do czego chciałbyś się uaktualnić?
Klient: Naprawdę nie wiem, mój obecny plan wynosi 80 USD miesięcznie za telefon i 30 USD za kolejny miesiąc bezpłatnej rozmowy.
Agent Telcom: Cóż, możemy zaktualizować Twój obecny plan, ale plan, który masz, już przekracza limit rabatu.Nigdy nie słyszałem, że masz regularny plan głosowy.
Klient: Ach, myślę, że to prawda.
Agent Telcom: Cóż, możemy uaktualnić Cię do planu rozmowy z minutami rozmów",KY,89,area_code_408,no,no,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0
no,,MI,147,area_code_415,no,no,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3
no,"Klient: Szukam głosu i tekstu.
Agent Telcom: Chcesz uaktualnić do planu, który ma głos?
Klient: Tak.
Agent Telcom: Świetnie.A jaka jest opłata aktywacyjna?
Klient: Nie pamiętam.
Agent Telcom: Oddzwonisz do mnie, gdy masz szczegóły.Twój numer telefonu będzie numerem telefonu, który zarejestrowałeś z numerem.Musisz mieć numer telefonu w portfelu w momencie dzwonienia.
Klient: Tak, rozumiem.Oddzwonię.
Po przekazaniu informacji",ND,56,area_code_510,no,no,0,164.3,92,27.93,233.7,107,19.86,187.3,104,8.43,11.8,1,3.19,2
no,"Klient: głos
Agent Telcom: Świetnie, przyjrzę się temu.Teraz będziesz musiał podpisać ten formularz, który przepraszam, czy mógłbyś dla mnie podpisać?
Klient: Tak.
Agent Telcom: Świetnie.Oddzwonię za chwilę, czy chciałbyś to teraz zrobić?
Klient: Tak.
Agent Telcom: OK, jest zawieszony.
Klient: OK, tak.
Agent Telcom: Zniknął.
Klient: OK, dzięki.
Klient: Właśnie otrzymałem telefon od agenta Telcom.
Klient:",PA,90,area_code_408,no,no,0,160.9,97,27.35,136.4,46,11.59,209.0,121,9.4,9.1,4,2.46,2
no,"Klient: Po stronie głosu chciałbym uaktualnić do usługi VoIP.
Agent Telcom: [niezrozumiały]
Klient: To nie jest dla mnie dostępne?
Agent Telcom: Przepraszam?
Klient: To nie jest dla mnie dostępne?
Agent Telcom: Przepraszam?
Klient: Och, na nowym planie jest VoIP?
Agent Telcom: Przepraszam, że zadałeś mi to pytanie.
Klient: Tak, to jest.Po prostu próbuję zrozumieć, jak brzmiał ten VoIP, ponieważ nie mam takiej opcji.
Agent Telcom: OK,",ME,66,area_code_510,no,no,0,207.7,85,35.31,196.7,112,16.72,261.7,83,11.78,6.8,3,1.84,1
no,"Klient: Chciałbym zaktualizować umowę do pakietu danych na moim telefonie.I możesz zaktualizować moją usługę do głosu i SMS -ów;A co z danymi?
Agent Telcom: To główny komponent?
Klient: To główny element, który chciałbym.
Agent Telcom: A o której godzinie chciałbyś zaktualizować swoją usługę?
Klient: W tej chwili planuję ulepszyć usługę w środę 28 maja o 8 rano.
Agent Telcom: Dziękuję David.Czy możesz oddzwonić do mnie we wtorek?
Klient: Tak, jak najszybciej",MD,77,area_code_415,no,no,0,205.3,69,34.9,171.0,84,14.54,242.4,96,10.91,10.1,2,2.73,3
no,"Klient: Patrzę na aktualizację głosu i chciałbym 500 plus minutowy plan danych za 46 USD miesięcznie.
Agent Telcom: Dziękuję.Więc zamierzam zadać ci jeszcze kilka pytań.Czy potrzebujesz menedżera konta?
Klient: Nie, nie czuję się z tym zbyt dobrze.
Agent Telcom: pokrój tutaj byka, Dennis.Czy chcesz zadzwonić do swojego agenta Telcom, czy po prostu nie jest to twój styl?
Klient: Chciałbym porozmawiać z agentem obsługi klienta.Przepraszam, zmieniłem zdanie.chciałbym",MA,101,area_code_415,no,yes,21,238.0,88,40.46,209.6,84,17.82,233.0,95,10.49,10.0,5,2.7,2
no,"Klient: Szukam dzisiaj aktualizacji.
Agent Telcom: Świetnie.Do czego chciałbyś ulepszyć?
Klient: Tak, mam telefon bezprzewodowy i chciałbym przenieść go na LTE
Agent Telcom: Świetnie.Jakie są plany dostępne na Twoją umowę na nie-karierną wersję telefonu?
Klient: Moja umowa rozpoczyna się we wrześniu, a UNZ-Carrier miał się rozpocząć około połowy marca.
Agent Telcom: Świetnie.Jakieś słowo, kiedy zamierzasz uzyskać aktualizację?
Klient: Powiedziałbym, że to prawdopodobnie w środku",DE,87,area_code_510,no,no,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4
no,"Klient: Chcę zaktualizować mój głos do nieograniczonego czatu.
Agent Telcom: OK.Jakiego rodzaju czatu szukasz?
Klient: Właśnie szukałem nieograniczonego czatu.
Agent Telcom: OK, czy masz więcej informacji dotyczących rodzaju czatu, którego szukasz?
Klient: Mam router NetGear i dostaję nawet 112 MBIT w dół i 38Mbit w górę.
Agent Telcom: OK, że możesz porozmawiać z obsługą klienta, a my możemy to sprawdzić.
Klient: OK.Dziękuję Ci.
Agent Telcom: i",NV,143,area_code_415,no,no,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0
no,,NJ,113,area_code_415,no,no,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1
no,,DE,85,area_code_510,no,no,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2
no,"Klient: Chciałbym zaktualizować umowę z głosu do tekstu.
Agent Telcom: Świetnie, to świetnie.Ile to byłoby?
Klient: 19,95 USD miesięcznie.
Agent Telcom: Świetny, świetny.I czy chciałbyś do mnie zadzwonić lub przejść do trybu online, aby zaktualizować?
Klient: Chciałbym przejść do trybu online, aby zaktualizować umowę.
Agent Telcom: W porządku, świetnie.A kiedy należy się ulepszyć?
Klient: 31 października.
Agent Telcom: Zatem za następny miesiąc zapłacisz 19,95 USD za rozmowę głosową, 10 USD i 2 USD",PA,101,area_code_415,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0
no,"Klient: Wszystkie trzy.
Agent Telcom: OK.Z przyjemnością udzielę ci wyceny dla usługi.Dziękuję bardzo za stanie obok.Oddzwoń do mnie, kiedy skończysz.
Klient: OK.
Agent Telcom: Good Richard.
Richard: Do widzenia.
Richard i Alexandria, Agent Telcom: Cześć George.Jesteś na Telcom i nazywam się Richard.Przepraszam, że nie dotarłeś do mnie dzisiaj.Wiem, że siedzisz tam, rozmawiając z moją pocztą głosową.Czy mogę prosić o przesłanie mi wiadomości?
Agent Telcom: Jasne George.",NE,115,area_code_415,no,no,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1
no,,UT,37,area_code_510,no,no,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3
no,"Klient: Chciałbym zaktualizować z usługi 4G do usługi 5G.
Agent Telcom: tak, oczywiście.Czy masz jakieś pytania dotyczące swojej obecnej usługi?
Klient: Nie.
Agent Telcom: Świetnie, dziękuję bardzo za poświęcony czas Joe.Miłego dnia.
Joe daje Telcom wystarczająco dużo pieniędzy, aby ulepszyć swoją usługę i rozłączać.Następnie dzwoni do swojego dostawcy komórek i pyta ich, jak anulować jego konto.Agent mówi mu, aby zadzwonił bezpośrednio do Telcom, ponieważ nic nie zrobi.
Ostatecznie 10 -letni kontrakt Joe zostaje anulowany przez Telcom po nim",WA,107,area_code_415,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1
no,,OR,190,area_code_415,no,no,0,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0
no,"Klient: głos i tekst, debatuję.
Agent Telcom: Dziękuję Thomas.Czy możesz wyświadczyć mi przysługę i po prostu potwierdzić, jaka jest twoja obecna umowa lub będzie przez następne 11 miesięcy?
Klient: 13,25 plus 100,00 miesięcznie za 39,95 USD, rachunek 160,24 USD.
Agent Telcom: Dziękuję bardzo i wow, teraz to świetnie.To byłby świetny czas na aktualizację.Jak więc najlepiej Ci dzisiaj pomóc?
Klient: Cóż, byłem zadowolony z usługi, którą otrzymałem od Telcom i zrobiłem to",MT,119,area_code_510,no,no,0,134.9,70,22.93,211.5,74,17.98,188.5,105,8.48,11.3,6,3.05,1
no,,VA,34,area_code_415,no,no,0,151.0,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0
no,"Klient: Istnieją trzy aktualizacje, które chciałbym dokonać usługi, którą mam z Telcom.Moja usługa jest obecnie tylko głosowa.Chciałbym uaktualnić tekst i chciałbym uaktualnić dane.
Agent Telcom: Dziękuję za to.Pozwól mi przejść przez opcje aktualizacji dla Ciebie.Czy zadzwoni do kogoś, czy już to zrobiłeś?
Klient: Nie, nie muszę nikogo dzwonić.Będę ulepszał tylko, aby obniżyć ceny.Będę musiał tylko zadzwonić do Telcom i wyzwolić dane i tekst, zanim wykonam jakiekolwiek aktualizacje.
Agent Telcom: W porządku.I",IL,58,area_code_415,yes,yes,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1
no,"Klient: głos
Agent Telcom: Aby zaktualizować swoją usługę głosową, czy byłbyś skłonny zapłacić 30 USD miesięcznie za 50 minut głosu?
Klient: Tak
Agent Telcom: Dziękuję za poświęcony czas.Czy byłbyś gotów zapłacić 30 USD miesięcznie za 50 minut głosu?
Klient: Tak
Agent Telcom: Dziękuję za poświęcony czas.Cieszę się, że już uaktualniłeś swoją usługę do głosu.Czy byłbyś skłonny zapłacić 60 USD miesięcznie za nieograniczone użytkowanie głosu?
Klient: Tak
Agent Telcom: Dziękuję za poświęcony czas.Doceniamy twój biznes i zrobilibyśmy",NV,53,area_code_415,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0
no,"Klient: głos.
Agent Telcom: Jasne, Monica, jakiego rodzaju głos chcesz?
Klient: Chciałbym się upewnić, że możesz się ze mną komunikować za pomocą mojego głosu.
Agent Telcom: OK.Tylko jedna chwila proszę.Czy możesz stać przez chwilę?
Klient: Tak, jestem tutaj.
Agent Telcom: OK, będę tylko chwilę.
Agent Telcom: I przepraszam, że czekasz, ale tak, możesz uaktualnić głos w dowolnym momencie.
Klient: Tak, to świetnie.
Agent Telcom: Dziękuję.Tak może",MA,160,area_code_408,no,no,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1
no,"Klient: Chcę uaktualnić usługę Verizon do Verizon FIOS.Czy masz jakieś plany dotyczące Verizon FIOS?
Agent Telcom: Cóż, obecnie oferujemy tylko Verizon FIOS na każdym z rynków, które obsługujemy, więc musiałbym sprawdzić, jaka jest faktyczna oferta w Twojej okolicy.Jeśli chcesz porozmawiać z jednym z naszych agentów, zadzwoń do nas pod numer 1-888-793-4449.Dziękuję,
Agent Telcom: Chciałbym mieć czas na odpowiedź na twoje pytanie, ale muszę się do ciebie skontaktować.Miłego dnia.
W porządku, więc masz",OR,80,area_code_415,no,no,0,113.2,86,19.24,185.5,97,15.77,237.3,145,10.68,9.5,5,2.57,1
