,churn,chat_log
0,no,"Klient: Tekst.
TelCom Agent: Jakie jest minimum dla nowego tekstu?
Klient: $23 miesięcznie
Agent TelCom: 23 USD miesięcznie? To drogo.
Klient: Tak.
Agent TelCom: Ach, rozumiem. A co z danymi?
Klient: W mojej okolicy jest to 20 USD miesięcznie.
TelCom Agent: $20 miesięcznie? To dużo tańsze.
Klient: Tak.
TelCom Agent: Masz nowy numer telefonu?
Klient: Tak, właściwie mój stary numer TelCom właśnie został odwołany.
TelCom"
1,no,"Klient: Tylko głos.
TelCom Agent: A ile by to kosztowało?
Klient: Uh, będę płacił 120 dolarów miesięcznie przez następne 12 miesięcy.
Agent TelCom: Dobra, dziękuję Belindzie. I z tym jesteś skończony. Do widzenia!
Zrobiłem zdjęcie paragonu i umieścimy to wszystko na tym blogu, aby pokazać, że nie jesteśmy tylko listą numerów telefonów. List mówi, że jesteś skończony. Kiedy dostaniesz ten list, skończysz i nie ma to nic wspólnego z TelCom. To nie jest kwestia"
2,no,Nan
3,no,"Klient: Nie mogę uaktualnić mojego pakietu głosowego Korzystam z usługi Verizon.
Agent TelCom: Ok, czy możesz mi wyjaśnić, dlaczego nie udało Ci się uaktualnić pakietu głosowego?
Klient: Cóż, kiedy przeszedłem na TelCom, miałem już pakiet głosowy ze starym operatorem i chciałem go zatrzymać. Nie chcieli, żebym się przestawił.
Agent TelCom: Okej, czy możesz mi powiedzieć, dlaczego chcesz wrócić do Verizon?
Klient: Cóż, utknąłem na słowie, że nie chcą, żebym się przestawił.
Agent TelCom: Dobra, dobrze, czy mógłbyś"
4,no,"Klient: Chcę uaktualnić moją umowę do SingTel. Jestem na standardowym planie i myślę, że korzystne byłoby uaktualnienie do nowej usługi głosowej.
Agent TelCom: Dziękuję za poświęcony czas na przeprowadzenie tego wywiadu, Michael. Czy chcesz, żebym wysłał Twój istniejący kontrakt, czy potrzebujesz nowego?
Klient: Chciałbym wysłać starą umowę tylko w bieżącym miesiącu, jeśli to możliwe.
Agent TelCom: W porządku, możemy uzyskać kopię i wysłać Ci kopię e-mailem. Pokażę ci, jak przetworzyć cały proces przełączania.
Klient: Będę"
5,no,Nan
6,no,"Klient: Chcę uaktualnić mój pakiet głosu i danych.
TelCom Agent: Do którego z nich chciałbyś uaktualnić?
Klient: Głos.
Agent TelCom: Ok. Który chcesz?
Klient: Picasso.
Agent TelCom: Ok. Który chcesz?
Klient: Picasso.
Agent TelCom: Ok. Który chcesz?
Klient: Picasso.
Agent TelCom: Ok. Który chcesz?
Klient: Picasso.
Agent TelCom: Ok. Który chcesz?
Klient: Picasso.
"
7,no,Nan
8,no,"Klient: Chciałbym uaktualnić moją usługę głosową do Verizon Galaxy Note 3.
TelCom Agent: Świetnie! Na jaką kartę kredytową chcesz wysłać $100.00?
Klient: Nie mam karty kredytowej, na którą można wysłać 100,00 USD. Możesz przyjąć gotówkę lub czek?
TelCom Agent: Mogę przyjmować gotówkę. Mam konto bankowe w SunTrust Bank, które mogę akceptować czeki i gotówkę. Mogę również wysłać pieniądze czekiem kasowym za pośrednictwem konta bankowego, które mamy na nazwisko Pamela A. Ponce.
Klient: W porządku. Dziękuję bardzo!
Klient"
9,no,Nan
10,yes,"Klient: Dostałem nową umowę najmu podpisaną w 2012 roku, ale nadal nie jestem zadowolony z usługi. Mój telefon domowy to Sony Ericsson i jestem zawieszony w Telcom od ponad miesiąca. To było absolutnie niepomocne. Czy masz cenę zastępczą?
Agent TelCom: Sharon, myślisz, że możemy ci uaktualnić telefon stacjonarny?
Klient: Tak, ponieważ nie chcę już iść do firmy telefonicznej.
Agent TelCom: Dziękuję Sharon. Chętnie Ci w tym pomożemy. Jaki jest koszt wymiany telefonu stacjonarnego?
Klient: Nie wiem, to nie jest jasne"
11,no,Nan
