churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,"Klient: Chciałbym zwiększyć ilość moich danych. Obecnie mam nieograniczoną liczbę SMS-ów i 4G danych. Próbuję się dowiedzieć, jaki jest najlepszy sposób, aby to zrobić.
Agent TelCom: Och, to bardzo dobrze. A czy wolałby Pan zaktualizować swoje usługi głosowe?
Klient: Tak jest. Próbuję się dowiedzieć, jaki jest najlepszy sposób, aby dokonać aktualizacji. Nie jestem pewien, czy jest to jednorazowe, czy trzeba tam zostać i dalej płacić?
Agent TelCom: Bardzo mi przykro, Joseph. Nie możemy zmodernizować Twojej usługi.",DC,79,area_code_408,no,yes,25,219.0,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4
yes,"Klient: Dobrze, więc zadzwoniłem do TelCom i powiedzieli, że umowa nie wygaśnie.
Agent TelCom: No dobrze, ale umowa wygasa. Jak mogę panu pomóc?
Klient: No tak, ale nie dostaję żadnych aktualizacji, nie otrzymuję pełnego pakietu usług internetowych, a oni nawet nie poinformowali mnie, że umowa wygasa.
Agent TelCom: I co się dzieje?
Klient: Jestem wdzięczny, że z panem rozmawiałem, bo dostałem nowe plany. W przyszłym miesiącu ponownie rozpoczną działalność, a za każdym razem byli w mojej okolicy i wyjeżdżali z niej przez 10 dni.",AR,115,area_code_415,no,no,0,139.3,89,23.68,192.3,95,16.35,151.0,75,6.8,9.3,3,2.51,7
no,"Klient: Wyślij SMS na mój telefon, dziękuję. Chcę uaktualnić moją dwuletnią umowę.
Agent TelCom: No cóż, to byłaby najbardziej zaawansowana funkcja. Ile chciałby Pan zaoszczędzić?
Klient: Najwięcej chciałbym zaoszczędzić na połączeniach głosowych, SMS-ach i danych.
Agent TelCom: Dziękuję. A jaką stawkę płaci Pan/Pani obecnie za tę usługę?
Klient: Płacę 39,20 USD miesięcznie.
Agent TelCom: To bardzo dużo. Jaka jest różnica między tymi dwiema stawkami?
",NE,147,area_code_415,no,yes,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2
no,,RI,17,area_code_415,no,no,0,161.5,123,27.46,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1
no,"Klient: Chciałbym zwiększyć mój pakiet głosowy z nielimitowanego do 4Gb/s, a także chciałbym zwiększyć prędkość usługi, którą mam w TelComie z 25mb/s do 50mb/s.
Agent TelCom: Wspaniale, mogę to dla Ciebie zrobić, Sylwio, i przykro mi słyszeć, że jest to niewykonalne. Przykro mi, że nie jesteś zadowolona z oferty, jaką otrzymałaś od TelCom. Chcemy mieć pewność, że klienci są zadowoleni z naszych usług. Wiem, że nie zawsze jest to łatwe, ale chcielibyśmy wspólnie z Tobą pracować nad tym, aby oferta została zrealizowana. Prosimy o pozostawienie wiadomości o treści",PA,88,area_code_510,no,no,0,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8.0,1,2.16,1
no,"Klient: Chcę zmodernizować mój modem głosowy na lepszy. Czy jest coś, co mogę zrobić?
Agent TelCom: Cóż, jest kilka rzeczy, które można zrobić. Jeśli chcesz z kimś porozmawiać, jest do dyspozycji pod numerem 1-800-841-9368. Jeśli chcesz wysłać wiadomość, mają do dyspozycji dział zatrzymywania połączeń. Nie mogą oni dokonać przeniesienia, albo mogą. Powiedzą Ci, co dokładnie mogą, a czego nie mogą zrobić. Jeśli zdecydujesz się na uaktualnienie, możesz wybrać wersję z największą ilością danych (60$/miesiąc) lub 100$/miesiąc, która zawiera nieograniczoną ilość połączeń głosowych i telefonicznych.",SC,99,area_code_510,no,no,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0
no,"Klient: A gdybym chciał przenieść głos na dane?
Agent TelCom: Widzę, że jesteś z TelCom od dłuższego czasu. Czy istnieje możliwość przejścia na plan taryfowy na transmisję danych?
Klient: Oczywiście, ale naprawdę nie chcę tego robić. Nie jestem zbyt intensywnym użytkownikiem danych.
Agent TelCom: Ale korzystasz z niego bardzo często i potrzebujesz więcej danych, aby dotrzeć do swojej sieci. Jeśli chcesz, możesz również zmienić plan taryfowy na plan taryfowy z transmisją danych. Nie jesteś jednak zadowolony z obecnego planu. Jaki jest Twój wybór?
Klient: Jestem głośną osobą. W moim miejscu zamieszkania",VA,139,area_code_510,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0
no,"Klient: Chcę rozszerzyć moją umowę na usługi głosowe. Nie widzę żadnej wartości w mojej obecnej umowie, w której jestem na 3-miesięcznych kontraktach.
Agent TelCom: Ile by Pan płacił, gdyby chciał Pan zmienić umowę na głosową?
Klient: 29,62 USD miesięcznie.
Agent TelCom: Dobrze, mogę to zapisać w formularzu, ale proszę mi powiedzieć, jaka jest Pana obecna umowa, a ja mogę wycenić aktualizację. Nie jest to zbyt długa umowa, prawda?
Klient: Tak, jest.
Agent TelCom: Ile będzie Pan płacił za nową umowę?",VT,122,area_code_415,no,no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0
no,"Klient: Chcę zmienić mój plan taryfowy na transmisję danych.
Agent TelCom: Dziękuję Louis. Jaki poziom danych ma Pan/Pani wykupiony?
Klient: (pauza) Mój plan taryfowy na dane to 1 GB miesięcznie.
Agent TelCom: Muszę sprawdzić statystyki tej liczby, aby zobaczyć, jak wypada ona na tle innych klientów. Chciałbym więc, aby zapoznał się Pan ze statystykami za ostatni miesiąc, a jeśli będzie Pan zadowolony z zakupu/aktualizacji, chętnie przekażemy porównywalną cenę za miesięczny plan taryfowy. Jeśli chcesz, mogę wysłać",MO,86,area_code_415,no,no,0,83.5,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0
no,"Klient: Poczta głosowa i SMS.
Agent TelCom: Świetnie. Czy chciałby Pan/Pani przejrzeć swój aktualny plan taryfowy z TelCom?
Klient: Tak, chcę.
Agent TelCom: Świetnie. Czy chciałby Pan/Pani przejrzeć swój aktualny plan taryfowy w firmie Telcom?
Klient: Nie, już go przejrzałem.
Agent TelCom: Dobrze, ale wyjaśnię, jak zmienić obecny plan taryfowy na transmisję danych.
Klient: OK, zmienię plan na transmisję danych.
Agent TelCom: Świetnie. Co chciałby Pan zmienić?
Klient: Nie lubię zmieniać swojego nazwiska.",DE,90,area_code_415,no,no,0,198.5,124,33.75,266.6,100,22.66,243.3,80,10.95,8.0,7,2.16,2
no,"Klient: Wezmę głos.
Agent TelCom: Dziękuję, Małgosiu. Jaka jest nowa cena, którą chce Pani zapłacić za tę usługę?
Klient: 44,95 USD.
Agent TelCom: Nie mogę podać takiej ceny, bo taką cenę podali mi moi agenci. Może więc poda mi Pani dokładną cenę, jaką chce Pani zapłacić, Pani Małgorzato?
Klient: Nie chcę podawać ceny, chcę, żebyś podał mi dokładną cenę.
Agent TelCom: Tak, dobrze. Czyli chce Pani zapłacić 44,95 USD za połączenia głosowe i plan nr 888 oraz 44,95 USD za połączenia z Internetem.",AR,100,area_code_510,no,no,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2
